sentiment,content
sadness,layin n bed with a headache  ughh..waitin on your call..
sadness,funeral ceremony..gloomy friday..
neutral," we want to trade with someone who has houston tickets, but no one will."
sadness, charlene my love. i miss you
sadness, i am sorry  at least it is friday?
neutral,cant fall asleep
worry,choked on her retainers
sadness,ugh! i have to beat this stupid song to get to the next  rude!
sadness, if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
surprise,got the news
sadness,the storm is here and the electricity is gone
love, agreed
sadness,so sleepy again and it is not even that late. i fail once again.
worry, lady gaga tweeted about not being impressed by her video leaking just so you know
sadness,how are you convinced that i have always wanted you? what signals did i give off..damn i think i just lost another friend
worry,i ate something i do not know what it is.. why do i keep telling things about food
worry,on my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers..damn i feel old
sadness,"  i am sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
worry,damm servers still down  i need to hit 80 before all the koxpers pass me
worry,i hate cancer. i hate it i hate it i hate it.
neutral, i cant sleep
neutral,socal!  stoked. or maybe not.. tomorrow
neutral,screw you ! i only have 3 weeks..
worry,i need skott right now
neutral,has work this afternoon
neutral, aw you would not unfollow me would you? then i would cry
worry,just picked up her blackberry from the middle of the street! both she and it are crushed!
worry,why do i have the feeling i should be packing and hitting for sfo around this time of the year? i think i am missing something..
worry,"bed!!.. its time,.. hope i go to school tomorrow, all though i do not feel very well right now"
worry," ahh.  .. well, i was hoping that i could learn some stuff on the way. .. why not you and i work on separate things but also"
sadness,i am having a problem with my photo here in twitter amf!!..ca not see my face!
neutral,", oh noo!  if i blow a tire you are reaally going to have to send up some batman smoke."
neutral,wnna take a bath!!
neutral,chocolate milk is so much better through a straw. i lack said straw
worry,why am i so tired?
neutral,  no way! damn that sucks b!  are you ok?
worry,sucks not being able to take days off of work or have the money to take the trip  so sad
neutral, the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we will cope
neutral, but i got dibs on sulu..
sadness," aww  onward and upwards now, yay! still sad to leave i bet."
worry, at once haha.  poor aby still gets sore!
sadness,  in all honesty..pain  blech.
sadness,ok .. the passengers .. no one is alive .. they are all dead .. you just do not know it til the end .. then you cry ..
neutral,at home alone with not much to do
worry, ia so much! i have not really been happy with any of cooks choices for singles.
sadness,  i fell asleep on the beach and did not put on enough sunscreen  lol
worry,so i think my son might have the flu cause i def. just cleaned up a stanky puke mess  poor pumkpin
neutral,i cant give  any bday nudges.
neutral,brothers bloom wo not be opening this weekend in el paso.  i will just buy brick and enjoy that until i can watch brothers bloom.
worry,"bitten to blood by my cat, on my way for a rabies bacterin. seems 7 shots for 2 months. never wash my cats at home again, they hate water"
neutral,i miss voobys!
neutral, neither are elp!!
happiness,"  dude, that is my favorite sandwich place ever. umm did you take pictures?"
worry,is sad that shin ae got married..and it was not to alex
sadness, ohh thursday i have exams.. all day  what about wednesday ?
sadness,"  i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
worry,"good moorning people.. sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
worry,fresh prince and sleepy sleeps my nightly routine  gotta go to dmv early tmrw
worry, i am jealous of your mom talking to . i want to see you all our twittering is making me miss you
worry,i ca not sleep..i keep thinking about the puppy i played with today
neutral, what is going on sweetheart?
worry,"last one month due to summer, strawberry is not availble in the chennai markets!"
neutral, work at 6am. gotta go to bed soon
love, correct! i adore him. i just plucked him up and put him under my arm cuz he was cryin.  all better now! hahaha
sadness, hii im on my ipod..i cant fall asleep
neutral,princecharming
neutral,oh is that time for real?
sadness,darn these allergies! i do not like this time of year because of this! i never used to have this problem either
worry,oh no one minute too late! oh well
worry,ahh! big scary bug flying around my room!!
sadness,"i wish she knew what she puts me through..she stole my heart, never gave it back..and occasionally she likes to be like look what i have!"
worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
neutral,  that was stone cold  crazy..  ?
neutral, i am sure some1 will cum out and play. i am workin through til midnight.
neutral, i second that. i wish it rained more where i am
sadness, early happy day of birth in case i do not make it! very tired from therapy today n just taking my medicine!  misshu! love ya!
neutral,damn it were is eric or anyone else when you need your hair to be played with
neutral,i am feel deflated. ugh. no more dog.
neutral,well it almost was a good day.. guess i just retry tomorrow
love, sounds good. appreciate the suggestion. been a week now and we are still offline  time to ask for a refund..
worry," he died.  wait, what about magic jack? i just read it."
happiness,"need to pack for cali cali! cannot waitt! thinking a glass of wine is in order to celebrate my weekend vaca. still work 2morrow, tho."
sadness,is miserable  i feel like im gona cry  sux!
neutral, well i ran out of beer so i left. not sure about the eta. waiting waiting waiting. bleh  gonna be a long nite methinks.
love,pats in philly at 2 am. i love it. mm cheesesteak.  miss my boyfriend  but i love vacation.
neutral,what? i focused on tom so much i did not see my beloved barack! oh no! i must vote for both! poor president only has 626 votes.
sadness,now i am depressed after watching so you think you can dance
neutral," i know. but like i said, i have no idea how long it takes for them to investigate this stuff."
worry,"i cant sleep, but im too sore to move"
neutral,what is it with chocolates? i just can never say no
worry,achieving a new appreciation on how a xml build script can really be painful and cumbersome
neutral, i am too awake now  ill have a nap this afternoon
worry, i cant do anything
neutral,still needs another 6 hours of sleep
neutral,"morning tweeple,way to early again"
sadness,"last day working for the uni today, sad times"
love," thanks neemah. i am gonna be soo close to you and izzy, yet so far"
worry,my head hurts so bad i could scream!
worry,i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain
worry,new work wellness challenge not going well.  i committed to not check email between 10 pm and 6 am.  failed on first day.  twice
neutral,"where are all ma bestfriends at ? , mia or wat ?"
worry,my sole supporter is not my sole supporter
worry, urgh stop it guys
sadness,is still missing her husband.  i really want him home.
sadness,i miss my puppy
surprise,"2 days of this month left, and i only have 400mb left on my onpeak downloads."
worry,up reading tabloids about other people is lives..thinking what i am gonna do with mine when my baby leaves?
sadness, yearling in pet home died.. very sad for their whole family
neutral,fun in the sun hmm hell no it is cold
worry,i got a giant splinter stuck up underneath my finger nail today at muppets..it hurt.  but i got to go to first aid for the first time!
sadness,just uploaded my new blog.. a painful story about an 80s year old man who cried because he wanted to die.. very sad
neutral, i do not think so.  i want details.
neutral, hi..!! who is mary poppins??
worry," its so addicting, but its kind of a curse to do them at night time. everytime i do one, i feel like making music afterwards"
neutral,my last tweet did not send  bad phone
neutral,  i was watching parental control
sadness,i just saw pics from this past thanksgiving and am sad because grandma was in them.
worry, it wont let me
sadness,took a shift tomorrow.  i do not really feel like working right now.
sadness,but now i have no money for a phone
surprise, where are you? in bris? i ca not hear any thunder
sadness,too bad the red devils.. disappointing to say the least
surprise,i had a dream about a pretty pretty beach and there was no beach when i woke up
surprise,when da heck will the garage man get here i ask you.. when..
worry,"ate mandy, please forgive me. i really am sorry. i do not wanna lose my bff"
worry,why are plane tickets so expensive
worry,needs a job badly!!
sadness, daammnn i do wish i was there.
sadness,is a bad friend
neutral, happy birthdayy! hope you have an awesome day. did not see you at next last night!
neutral, ill be over in an oir
love, i missed the game
neutral, a hungry fool. ill probably never see that krispy kreme again. had to enjoy it. they closing down
neutral, airport? and you didnt show up tonight homo!
neutral, what about me
neutral,"looking for desktop twitter app that will actually let you access urls, any suggestions? i liked twittle but no linking"
worry,people in my house do not know how to close doors
surprise,why am i completing facebook quizzes at this time of the morning.. especially a friday morning
worry, i do not like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death
sadness,had to cancel wow for now
worry,wants to make a music profile but i do not have money i do not know how to write music i do not know how to play an instrument and no studio
neutral,back from school. ms suhana is last day as our ft  ocu was okay. i am playing altnoy over and over again.
happiness,"took a math test today. the day before the test, the teacher says bring your calculator. luke was confident. teacher decided no calcs."
happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece..brooks also called up alumni, but i didnt get to go"
neutral," yeah, it is terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
sadness,up late with nothin 2 do..
worry,i think the vog is making me sicker than i think. feeling slightly achy
worry,i am doing homework it sux big time maths is the worst!!
sadness,sometimes i wish things could go back to the way they were the beginning of last summer
worry,"i downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they did not"
sadness," i feel the same way, but i guess no matter where you are there will always be memes."
happiness,"i ca not do 30 minutes of treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
worry,i am soo confused
worry,"work day 7 of 7,"
neutral,"i loove guitars, and playing them. i think they sound magnificent. if only i was better.. if only"
worry," no refunds but they do retrieve accounts, takes like a week. just hoping the thief does not use hacks or then it is permaban"
neutral, no im not  cries lol
neutral,come on knight.. it is been well over 4 hours
worry,not super keen on the drive home through the rain.. additional concentration required that i do not really wanna deal with
surprise, aw u ca not let me in on the secret!
surprise," im sorry  i do not think i stick out, at least compared to what i used to look like."
worry,"no transport for church  wont be making it, im crushed. oh well, more time for assignments i suppose. my throat really hurts .."
neutral,driving back home because i forgot the piece of cake for 
sadness,"everytime i send an email to my coach, i feel a need to practice.  shitty balls.  lol"
sadness,it is pissing me off and not letting me follow ericka
sadness,is going to sleep not peaceful  wanted to hear him say good night but that did not happen  good night everyone..
sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
neutral, i was so close to the tacos..one spot too late
surprise,is thinking so much and i am at work
worry,i have forgot the live with the jonas brothers on facebook
sadness,i have not seen muffin in two whole days!
surprise,my gap year is going so quick
worry,"i have to admit, i am a bit bummed out that i was not with my friends walking today.."
neutral, girl a blunt is soo in my thoughts right now. i had an absolutly great day with a few stressors..come home
worry,my twitter has been hacked again
sadness,just found mj mouse flats at djs. of course there are none left in my size
neutral, i wont have time to buy  and i need a new binder pa
neutral, this is happening to me too
neutral," bored now because i was talking to someone but now they are busy with something else  just kinda a bummer, idk"
happiness, i kno i doo!! yall partyin with out me
worry,"okay, so twitter suddenly changed, how do i respond to messages now"
neutral,ugh.. my dad just told me to read an article about kavya shivashankar the spellin bee girl..and be more like her.
worry,decided that no matter how good my hair looks curly it does not justify the burn i get from the curler! my hands covered  i suck at it!
sadness,going to sleep. gonna fall asleep playing apps again. tmrw is going to suck
worry,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
neutral,"not one sale done today at work. explored balconies in the big theater w coworkers. a fun day, but void of chili fries and tips"
sadness,  i wish i had left 4 dead. but first i would need something to play it on..
neutral, me too
neutral, that story reminds of living in portugal
happiness,i spilled my beer all over my leg. wasted half my beer.  home now. i met a cute girl. good conversation.
neutral,  i will make him nachos tomorrow. better than if he would have made them himself.
sadness,my teeth and head hurts
worry,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
worry,i need to be held..  gnite.
worry,"hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. dang car accidents"
sadness,no more arrested development. i am sad.
neutral,"  wicked , what time you leaving? how come you cant stay the night"
sadness,i feel so deflated. no more doggy.
worry, i wanna see her hair  hows everyone?
